stat,year,player,team,number
Batting Average,2000 American League Player Review,Nomar Garciaparra,Boston,0.372
Batting Average,2001 American League Player Review,Ichiro Suzuki,Seattle,0.35
Batting Average,2002 American League Player Review,Manny Ramirez,Boston,0.349
Batting Average,2003 American League Player Review,Bill Mueller,Boston,0.326
Batting Average,2004 American League Player Review,Ichiro Suzuki,Seattle,0.372
Batting Average,2005 American League Player Review,Michael Young,Texas,0.331
Batting Average,2006 American League Player Review,Joe Mauer,Minnesota,0.347
Batting Average,2007 American League Player Review,Magglio Ordonez,Detroit,0.363
Batting Average,2008 American League Player Review,Joe Mauer,Minnesota,0.33
Batting Average,2009 American League Player Review,Joe Mauer,Minnesota,0.365
Batting Average,2010 American League Player Review,Josh Hamilton,Texas,0.359
Batting Average,2011 American League Player Review,Miguel Cabrera,Detroit,0.344
Batting Average,2012 American League Player Review,Miguel Cabrera,Detroit,0.33
Batting Average,2013 American League Player Review,Miguel Cabrera,Detroit,0.348
Batting Average,2014 American League Player Review,Jose Altuve,Houston,0.341
Batting Average,2015 American League Player Review,Miguel Cabrera,Detroit,0.338
Batting Average,2016 American League Player Review,Jose Altuve,Houston,0.338
Batting Average,2017 American League Player Review,Jose Altuve,Houston Astros,0.346
Batting Average,2018 American League Player Review,Mookie Betts,Boston Red Sox,0.346
Batting Average,2019 American League Player Review,Tim Anderson,Chicago White Sox,0.335
Batting Average,2020 American League Player Review,DJ LeMahieu,New York Yankees,0.364
Batting Average,2021 American League Player Review,Yuli Gurriel,Houston Astros,0.319
Batting Average,2022 American League Player Review,Luis Arraez,Minnesota Twins,0.316
Batting Average,2023 American League Player Review,Yandy Díaz,Tampa Bay Rays,0.33
Batting Average,2024 American League Player Review,Bobby Witt Jr.,Kansas City,0.332
