stat,year,player,team,number
Home Runs,2000 American League Player Review,Troy Glaus,Anaheim,47.0
Home Runs,2001 American League Player Review,Alex Rodriguez,Texas,52.0
Home Runs,2002 American League Player Review,Alex Rodriguez,Texas,57.0
Home Runs,2003 American League Player Review,Alex Rodriguez,Texas,47.0
Home Runs,2004 American League Player Review,Manny Ramirez,Boston,43.0
Home Runs,2005 American League Player Review,Alex Rodriguez,New York,48.0
Home Runs,2006 American League Player Review,David Ortiz,Boston,54.0
Home Runs,2007 American League Player Review,Alex Rodriguez,New York,54.0
Home Runs,2008 American League Player Review,Miguel Cabrera,Detroit,37.0
Home Runs,2009 American League Player Review,Carlos Pena,Tampa Bay,39.0
Home Runs,2010 American League Player Review,Jose Bautista,Toronto,54.0
Home Runs,2011 American League Player Review,Jose Bautista,Toronto,43.0
Home Runs,2012 American League Player Review,Miguel Cabrera,Detroit,44.0
Home Runs,2013 American League Player Review,Chris Davis,Baltimore,53.0
Home Runs,2014 American League Player Review,Nelson Cruz,Baltimore,40.0
Home Runs,2015 American League Player Review,Chris Davis,Baltimore,47.0
Home Runs,2016 American League Player Review,Mark Trumbo,Baltimore,47.0
Home Runs,2017 American League Player Review,Aaron Judge,New York Yankees,52.0
Home Runs,2018 American League Player Review,Khris Davis,Oakland Athletics,48.0
Home Runs,2019 American League Player Review,Jorge Soler,Kansas City Royals,48.0
Home Runs,2020 American League Player Review,Luke Voit,New York Yankees,22.0
Home Runs,2021 American League Player Review,Vladimir Guerrero Jr.,Toronto Blue Jays,48.0
Home Runs,2022 American League Player Review,Aaron Judge,New York Yankees,62.0
Home Runs,2023 American League Player Review,Shohei Ohtani,Los Angeles Angels,44.0
Home Runs,2024 American League Player Review,Aaron Judge,New York,58.0
