stat,year,player,team,number
RBI,2000,Edgar Martinez,Seattle Mariners,145
RBI,2001,Bret Boone,Seattle Mariners,141
RBI,2002,Alex Rodriguez,Texas Rangers,142
RBI,2003,Carlos Delgado,Toronto Blue Jays,145
RBI,2004,Miguel Tejada,Baltimore Orioles,150
RBI,2005,David Ortiz,Boston Red Sox,148
RBI,2006,David Ortiz,Boston Red Sox,137
RBI,2007,Alex Rodriguez,New York Yankees,156
RBI,2008,Josh Hamilton,Texas Rangers,130
RBI,2009,Mark Teixeira,New York Yankees,122
RBI,2010,Miguel Cabrera,Detroit Tigers,126
RBI,2011,Curtis Granderson,New York Yankees,119
RBI,2012,Miguel Cabrera,Detroit Tigers,139
RBI,2013,Chris Davis,Baltimore Orioles,138
RBI,2014,Mike Trout,Los Angeles Angels,111
RBI,2015,Josh Donaldson,Toronto Blue Jays,123
RBI,2016,Edwin Encarnacion,Toronto Blue Jays,127
RBI,2017,Nelson Cruz,Seattle Mariners,119
RBI,2018,J.D. Martinez,Boston Red Sox,130
RBI,2019,Jose Abreu,Chicago White Sox,123
RBI,2020,Jose Abreu,Chicago White Sox,60
RBI,2021,Salvador Perez,Kansas City Royals,121
RBI,2022,Aaron Judge,New York Yankees,131
RBI,2023,Kyle Tucker,Houston Astros,112
RBI,2024,Aaron Judge,New York Yankees,144
