stat,year,player,team,number
Stolen Bases,2000,Johnny Damon,Kansas City Royals,46
Stolen Bases,2001,Ichiro Suzuki,Seattle Mariners,56
Stolen Bases,2002,Alfonso Soriano,New York Yankees,41
Stolen Bases,2003,Carl Crawford,Tampa Bay Rays,55
Stolen Bases,2004,Carl Crawford,Tampa Bay Rays,59
Stolen Bases,2005,Chone Figgins,Los Angeles Angels,62
Stolen Bases,2006,Carl Crawford,Tampa Bay Rays,58
Stolen Bases,2007,Carl Crawford,Tampa Bay Rays,50
Stolen Bases,2008,Jacoby Ellsbury,Boston Red Sox,50
Stolen Bases,2009,Jacoby Ellsbury,Boston Red Sox,70
Stolen Bases,2010,Juan Pierre,Chicago White Sox,68
Stolen Bases,2011,Coco Crisp,Oakland Athletics,49
Stolen Bases,2012,Mike Trout,Los Angeles Angels,49
Stolen Bases,2013,Jacoby Ellsbury,Boston Red Sox,52
Stolen Bases,2014,Jose Altuve,Chicago White Sox,56
Stolen Bases,2015,Jose Altuve,Houston Astros,38
Stolen Bases,2016,Rajai Davis,Cleveland Guardians,43
Stolen Bases,2017,Whit Merrifield,Kansas City Royals,34
Stolen Bases,2018,Whit Merrifield,Kansas City Royals,45
Stolen Bases,2019,Mallex Smith,Tampa Bay Rays,46
Stolen Bases,2020,Adalberto Mondesi,Kansas City Royals,24
Stolen Bases,2021,Whit Merrifield,Kansas City Royals,40
Stolen Bases,2022,Jorge Mateo,Baltimore Orioles,35
Stolen Bases,2023,Esteury Ruiz,Oakland Athletics,67
Stolen Bases,2024,Jose Caballero,Tampa Bay Rays,44
