stat,year,player,team,number
Total Bases,2000,Carlos Delgado,Toronto Blue Jays,378
Total Bases,2001,Alex Rodriguez,Texas Rangers,393
Total Bases,2002,Alex Rodriguez,Texas Rangers,389
Total Bases,2003,Vernon Wells,Toronto Blue Jays,373
Total Bases,2004,Vladimir Guerrero,Los Angeles Angels,366
Total Bases,2005,Mark Teixeira,Texas Rangers,370
Total Bases,2006,David Ortiz,Boston Red Sox,355
Total Bases,2007,Alex Rodriguez,New York Yankees,376
Total Bases,2008,Josh Hamilton,Texas Rangers,331
Total Bases,2009,Mark Teixeira,New York Yankees,344
Total Bases,2010,Jose Bautista,Toronto Blue Jays,351
Total Bases,2011,Jacoby Ellsbury,Boston Red Sox,364
Total Bases,2012,Miguel Cabrera,Detroit Tigers,377
Total Bases,2013,Chris Davis,Baltimore Orioles,370
Total Bases,2014,Mike Trout,Los Angeles Angels,338
Total Bases,2015,Josh Donaldson,Toronto Blue Jays,352
Total Bases,2016,Mookie Betts,Boston Red Sox,359
Total Bases,2017,Jose Abreu,Chicago White Sox,343
Total Bases,2018,J.D. Martinez,Boston Red Sox,358
Total Bases,2019,Rafael Devers,Boston Red Sox,359
Total Bases,2020,Jose Abreu,Chicago White Sox,148
Total Bases,2021,Vladimir Guerrero Jr.,Toronto Blue Jays,363
Total Bases,2022,Aaron Judge,New York Yankees,391
Total Bases,2023,Shohei Ohtani,Los Angeles Angels,325
Total Bases,2024,Aaron Judge,New York Yankees,392
