stat,year,player,team,number
Total Bases,2000 American League Player Review,Carlos Delgado,Toronto,378.0
Total Bases,2001 American League Player Review,Alex Rodriguez,Texas,393.0
Total Bases,2002 American League Player Review,Alex Rodriguez,Texas,389.0
Total Bases,2003 American League Player Review,Vernon Wells,Toronto,373.0
Total Bases,2004 American League Player Review,Vladimir Guerrero,Anaheim,366.0
Total Bases,2005 American League Player Review,Mark Teixeira,Texas,370.0
Total Bases,2006 American League Player Review,David Ortiz,Boston,355.0
Total Bases,2007 American League Player Review,Alex Rodriguez,New York,376.0
Total Bases,2008 American League Player Review,Josh Hamilton,Texas,331.0
Total Bases,2009 American League Player Review,Mark Teixeira,New York,344.0
Total Bases,2010 American League Player Review,Jose Bautista,Toronto,351.0
Total Bases,2011 American League Player Review,Jacoby Ellsbury,Boston,364.0
Total Bases,2012 American League Player Review,Miguel Cabrera,Detroit,377.0
Total Bases,2013 American League Player Review,Chris Davis,Baltimore,370.0
Total Bases,2014 American League Player Review,Mike Trout,Los Angeles,338.0
Total Bases,2015 American League Player Review,Josh Donaldson,Toronto,352.0
Total Bases,2016 American League Player Review,Mookie Betts,Boston,359.0
Total Bases,2017 American League Player Review,Jose Abreu,Chicago White Sox,343.0
Total Bases,2018 American League Player Review,J.D. Martinez,Boston Red Sox,358.0
Total Bases,2019 American League Player Review,Rafael Devers,Boston Red Sox,359.0
Total Bases,2020 American League Player Review,Jose Abreu,Chicago White Sox,148.0
Total Bases,2021 American League Player Review,Vladimir Guerrero Jr.,Toronto Blue Jays,363.0
Total Bases,2022 American League Player Review,Aaron Judge,New York Yankees,391.0
Total Bases,2023 American League Player Review,Shohei Ohtani,Los Angeles Angels,325.0
Total Bases,2024 American League Player Review,Aaron Judge,New York,392.0
